Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 57 | 102945789 | 10.2322
2 | Sim | 55 | 6056702 | 0.592355
3 | Sim | 59 | 241699521 | 24.0573
4 | Sim | 56 | 79059623 | 7.90734
5 | Sim | 56 | 5722803 | 0.554923
6 | Sim | 52 | 16887712 | 1.73412
7 | Sim | 52 | 183551695 | 18.4526
8 | Sim | 50 | 27977829 | 2.85843
9 | Sim | 46 | 801880 | 0.0826355
10 | Sim | 59 | 95080744 | 9.55616
11 | Sim | 57 | 73487818 | 7.29609
12 | Sim | 45 | 307759 | 0.0319526
13 | Sim | 46 | 10935866 | 1.09473
14 | Sim | 59 | 677171750 | 66.7081
15 | Sim | 62 | 250089534 | 24.0537
16 | Sim | 42 | 8720114 | 0.915323
17 | Sim | 66 | 1103491410 | 103.638
18 | Sim | 55 | 19037268 | 1.85799
19 | Sim | 46 | 814261 | 0.08313
20 | Sim | 52 | 11419567 | 1.16016
21 | Sim | 54 | 37807615 | 3.71996
22 | Sim | 59 | 379968118 | 38.4799
23 | Sim | 49 | 5248809 | 0.531605
24 | Sim | 54 | 28169133 | 2.85393
25 | Sim | 52 | 42042884 | 4.18547
26 | Sim | 58 | 142402015 | 13.8518
27 | Sim | 53 | 136884967 | 14.1768
28 | Sim | 52 | 3332031 | 0.326475
29 | Sim | 54 | 29883014 | 2.95894
30 | Sim | 47 | 1100106 | 0.111801
31 | Sim | 50 | 1417585 | 0.14067
32 | Sim | 59 | 316803843 | 30.9963
33 | Sim | 60 | 170938279 | 16.7008
34 | Sim | 52 | 10484581 | 1.05149
35 | Sim | 55 | 33565195 | 3.32662
36 | Sim | 52 | 49464935 | 4.9349
37 | Sim | 58 | 151966977 | 15.006
38 | Sim | 53 | 12117903 | 1.17667
39 | Sim | 49 | 8053289 | 0.817788
40 | Sim | 54 | 33305063 | 3.37611
41 | Sim | 54 | 31579676 | 3.24632
42 | Sim | 42 | 504926 | 0.0506748
43 | Sim | 64 | 30769478 | 2.92445
44 | Sim | 50 | 32143655 | 3.30514
45 | Sim | 51 | 6313163 | 0.627618
46 | Sim | 49 | 10588815 | 1.07455
47 | Sim | 47 | 731196 | 0.0751012
48 | Sim | 49 | 940234 | 0.0952373
49 | Sim | 59 | 1406215662 | 139.278
50 | Sim | 53 | 14200271 | 1.45695
51 | Sim | 56 | 19176025 | 1.90732
52 | Sim | 56 | 405152296 | 41.1028
53 | Sim | 64 | 248047477 | 24.6143
54 | Sim | 56 | 73353630 | 7.3723
55 | Sim | 41 | 280810 | 0.0286891
56 | Sim | 55 | 631158748 | 63.3186
57 | Sim | 50 | 3526690 | 0.35106
58 | Sim | 51 | 3443274 | 0.349778
59 | Sim | 57 | 734843317 | 74.1473
60 | Sim | 66 | 1825013507 | 180.09
61 | Sim | 45 | 3981298 | 0.406045
62 | Sim | 57 | 38497563 | 3.84414
63 | Sim | 56 | 695833721 | 72.8094
64 | Sim | 51 | 106667098 | 10.9039
65 | Sim | 47 | 8720001 | 0.88489
66 | Sim | 61 | 1042015024 | 102.863
67 | Sim | 50 | 119999308 | 12.2929
68 | Sim | 51 | 33606586 | 3.43886
69 | Sim | 53 | 73406828 | 7.37533
70 | Sim | 52 | 67398977 | 6.86088
71 | Sim | 44 | 2374995 | 0.243589
72 | Sim | 56 | 910856300 | 91.5572
73 | Sim | 49 | 1662366 | 0.167889
74 | Sim | 56 | 979455 | 0.0966151
75 | Sim | 48 | 23564827 | 2.4474
76 | Sim | 57 | 46479433 | 4.71843
77 | Sim | 54 | 12160712 | 1.19795
78 | Sim | 53 | 5125567 | 0.505316
79 | Sim | 42 | 406930 | 0.0419206
80 | Sim | 57 | 15242722 | 1.50677
81 | Sim | 53 | 10540235 | 1.04302
82 | Sim | 62 | 2476115768 | 246.681
83 | Sim | 49 | 36631362 | 3.80687
84 | Sim | 55 | 117970515 | 11.7854
85 | Sim | 44 | 814695 | 0.0829869
86 | Sim | 45 | 1443340 | 0.148215
87 | Sim | 52 | 31971609 | 3.23456
88 | Sim | 65 | 3443107386 | 340.014
89 | Sim | 54 | 50872713 | 5.15296
90 | Sim | 50 | 4697107 | 0.463182
91 | Sim | 57 | 394340537 | 39.0627
92 | Sim | 57 | 548610158 | 54.6822
93 | Sim | 46 | 826778 | 0.0845816
94 | Sim | 53 | 121126 | 0.0120789
95 | Sim | 50 | 2403027 | 0.239585
96 | Sim | 49 | 6330788 | 0.648824
97 | Sim | 44 | 786467 | 0.0809028
98 | Sim | 54 | 274519996 | 28.2587
99 | Sim | 57 | 60597849 | 5.91083
100 | Sim | 54 | 64855416 | 6.5379
