Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 22 | 617 | 0.00103177
2 | Sim | 23 | 668 | 0.000499578
3 | Sim | 17 | 73 | 5.1706e-05
4 | Sim | 25 | 838 | 0.000555757
5 | Sim | 16 | 110 | 7.5759e-05
6 | Sim | 22 | 578 | 0.000383367
7 | Sim | 22 | 300 | 0.000197052
8 | Sim | 21 | 305 | 0.000195532
9 | Sim | 17 | 160 | 0.000126222
10 | Sim | 21 | 171 | 0.000110486
11 | Sim | 23 | 536 | 0.000345251
12 | Sim | 23 | 686 | 0.000417382
13 | Sim | 19 | 256 | 0.000119298
14 | Sim | 22 | 326 | 0.000133653
15 | Sim | 19 | 275 | 0.000117438
16 | Sim | 22 | 651 | 0.000261456
17 | Sim | 20 | 340 | 0.000145082
18 | Sim | 21 | 44 | 2.0886e-05
19 | Sim | 22 | 174 | 7.2817e-05
20 | Sim | 22 | 186 | 7.9277e-05
21 | Sim | 16 | 31 | 1.4782e-05
22 | Sim | 16 | 68 | 3.1806e-05
23 | Sim | 25 | 1030 | 0.000468361
24 | Sim | 22 | 481 | 0.000216899
25 | Sim | 23 | 845 | 0.000412205
26 | Sim | 25 | 1636 | 0.000869564
27 | Sim | 21 | 383 | 0.000198686
28 | Sim | 13 | 54 | 3.4622e-05
29 | Sim | 23 | 526 | 0.00028938
30 | Sim | 24 | 169 | 9.9471e-05
31 | Sim | 24 | 660 | 0.00034882
32 | Sim | 16 | 58 | 2.8439e-05
33 | Sim | 18 | 35 | 2.0901e-05
34 | Sim | 23 | 344 | 0.000166522
35 | Sim | 26 | 1186 | 0.000522375
36 | Sim | 27 | 2597 | 0.00109007
37 | Sim | 22 | 339 | 0.000134886
38 | Sim | 26 | 761 | 0.000303693
39 | Sim | 22 | 553 | 0.000225333
40 | Sim | 25 | 1518 | 0.000622241
41 | Sim | 14 | 59 | 2.6641e-05
42 | Sim | 25 | 907 | 0.000355526
43 | Sim | 21 | 353 | 0.00014838
44 | Sim | 26 | 1459 | 0.000590469
45 | Sim | 24 | 1005 | 0.000403983
46 | Sim | 24 | 320 | 0.00012761
47 | Sim | 18 | 65 | 2.8516e-05
48 | Sim | 23 | 622 | 0.000242387
49 | Sim | 21 | 260 | 0.000106288
50 | Sim | 28 | 1691 | 0.000670199
51 | Sim | 20 | 178 | 7.5202e-05
52 | Sim | 27 | 2485 | 0.00098479
53 | Sim | 19 | 288 | 0.000116939
54 | Sim | 26 | 1292 | 0.000503964
55 | Sim | 18 | 149 | 6.3798e-05
56 | Sim | 24 | 393 | 0.000163049
57 | Sim | 18 | 194 | 8.207e-05
58 | Sim | 24 | 807 | 0.000307156
59 | Sim | 23 | 162 | 6.9e-05
60 | Sim | 24 | 925 | 0.000349952
61 | Sim | 27 | 1944 | 0.000737806
62 | Sim | 25 | 1535 | 0.000593343
63 | Sim | 21 | 181 | 8.1589e-05
64 | Sim | 22 | 142 | 5.8238e-05
65 | Sim | 28 | 2735 | 0.00103473
66 | Sim | 20 | 73 | 3.175e-05
67 | Sim | 27 | 1562 | 0.000600041
68 | Sim | 27 | 2268 | 0.00091613
69 | Sim | 25 | 718 | 0.000290751
70 | Sim | 24 | 818 | 0.000328135
71 | Sim | 24 | 352 | 0.000144718
72 | Sim | 22 | 283 | 0.000116569
73 | Sim | 27 | 2880 | 0.00116218
74 | Sim | 26 | 1247 | 0.000495683
75 | Sim | 25 | 1445 | 0.000590635
76 | Sim | 26 | 671 | 0.000268809
77 | Sim | 20 | 247 | 9.9176e-05
78 | Sim | 26 | 1640 | 0.000660024
79 | Sim | 16 | 98 | 4.2779e-05
80 | Sim | 27 | 1682 | 0.000682209
81 | Sim | 19 | 292 | 0.000120886
82 | Sim | 25 | 363 | 0.000148253
83 | Sim | 15 | 40 | 2.1749e-05
84 | Sim | 17 | 65 | 2.8833e-05
85 | Sim | 15 | 81 | 3.5035e-05
86 | Sim | 25 | 779 | 0.000311447
87 | Sim | 17 | 103 | 4.4536e-05
88 | Sim | 27 | 1488 | 0.000586971
89 | Sim | 20 | 361 | 0.000148339
90 | Sim | 20 | 313 | 0.00013149
91 | Sim | 27 | 1635 | 0.000657089
92 | Sim | 26 | 852 | 0.000337978
93 | Sim | 22 | 854 | 0.000393711
94 | Sim | 22 | 338 | 0.000142471
95 | Sim | 22 | 294 | 0.000140931
96 | Sim | 19 | 137 | 6.595e-05
97 | Sim | 20 | 308 | 0.000134817
98 | Sim | 21 | 642 | 0.000294112
99 | Sim | 24 | 808 | 0.00038314
100 | Sim | 25 | 1263 | 0.000593833
