Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 22 | 864 | 0.00114759
2 | Sim | 23 | 796 | 0.000670396
3 | Sim | 17 | 94 | 7.2966e-05
4 | Sim | 25 | 1656 | 0.00130294
5 | Sim | 16 | 141 | 7.9709e-05
6 | Sim | 22 | 811 | 0.000404597
7 | Sim | 22 | 637 | 0.000701231
8 | Sim | 21 | 546 | 0.000393198
9 | Sim | 17 | 294 | 0.000200341
10 | Sim | 21 | 330 | 0.000196277
11 | Sim | 23 | 621 | 0.000349791
12 | Sim | 23 | 1193 | 0.000577928
13 | Sim | 19 | 307 | 0.000127687
14 | Sim | 22 | 625 | 0.000257436
15 | Sim | 19 | 290 | 0.000117244
16 | Sim | 22 | 1635 | 0.000663367
17 | Sim | 20 | 392 | 0.000152283
18 | Sim | 21 | 76 | 2.965e-05
19 | Sim | 22 | 508 | 0.000194328
20 | Sim | 22 | 347 | 0.000141374
21 | Sim | 16 | 53 | 2.2025e-05
22 | Sim | 16 | 119 | 4.6938e-05
23 | Sim | 25 | 2372 | 0.00166448
24 | Sim | 22 | 902 | 0.000207363
25 | Sim | 23 | 743 | 0.00018581
26 | Sim | 25 | 1458 | 0.000331982
27 | Sim | 21 | 663 | 0.000154448
28 | Sim | 13 | 69 | 1.79e-05
29 | Sim | 23 | 1124 | 0.000267979
30 | Sim | 24 | 628 | 0.000145538
31 | Sim | 24 | 817 | 0.000188506
32 | Sim | 16 | 122 | 3.0523e-05
33 | Sim | 18 | 49 | 1.2508e-05
34 | Sim | 23 | 717 | 0.000173391
35 | Sim | 26 | 1675 | 0.00041539
36 | Sim | 27 | 3499 | 0.000916512
37 | Sim | 22 | 529 | 0.00012429
38 | Sim | 26 | 2800 | 0.000617671
39 | Sim | 22 | 1376 | 0.000309355
40 | Sim | 25 | 1718 | 0.000383274
41 | Sim | 14 | 86 | 2.2022e-05
42 | Sim | 25 | 1208 | 0.00027619
43 | Sim | 21 | 759 | 0.000169333
44 | Sim | 26 | 3153 | 0.000682558
45 | Sim | 24 | 1537 | 0.000346455
46 | Sim | 24 | 792 | 0.000222733
47 | Sim | 18 | 118 | 2.9603e-05
48 | Sim | 23 | 1105 | 0.000239908
49 | Sim | 21 | 708 | 0.00016353
50 | Sim | 28 | 3469 | 0.000780928
51 | Sim | 20 | 343 | 8.1241e-05
52 | Sim | 27 | 3592 | 0.000799376
53 | Sim | 19 | 354 | 8.3575e-05
54 | Sim | 26 | 2268 | 0.000494546
55 | Sim | 18 | 174 | 4.2092e-05
56 | Sim | 24 | 1342 | 0.000293795
57 | Sim | 18 | 299 | 6.8277e-05
58 | Sim | 24 | 1455 | 0.00031467
59 | Sim | 23 | 344 | 8.0252e-05
60 | Sim | 24 | 1599 | 0.000355031
61 | Sim | 27 | 3947 | 0.000915167
62 | Sim | 25 | 2428 | 0.000542285
63 | Sim | 21 | 450 | 0.000101122
64 | Sim | 22 | 162 | 3.8865e-05
65 | Sim | 28 | 5813 | 0.0014073
66 | Sim | 20 | 155 | 3.8947e-05
67 | Sim | 27 | 4628 | 0.00102406
68 | Sim | 27 | 3349 | 0.000759777
69 | Sim | 25 | 1425 | 0.000317242
70 | Sim | 24 | 2536 | 0.00055707
71 | Sim | 24 | 699 | 0.000153081
72 | Sim | 22 | 559 | 0.000131295
73 | Sim | 27 | 5895 | 0.00131631
74 | Sim | 26 | 2352 | 0.000510328
75 | Sim | 25 | 4247 | 0.000935743
76 | Sim | 26 | 1233 | 0.000269803
77 | Sim | 20 | 362 | 8.3209e-05
78 | Sim | 26 | 3465 | 0.000770701
79 | Sim | 16 | 159 | 3.992e-05
80 | Sim | 27 | 3622 | 0.000813959
81 | Sim | 19 | 390 | 8.7867e-05
82 | Sim | 25 | 604 | 0.00013624
83 | Sim | 15 | 86 | 2.2341e-05
84 | Sim | 17 | 107 | 2.558e-05
85 | Sim | 15 | 147 | 3.3752e-05
86 | Sim | 25 | 1426 | 0.000313808
87 | Sim | 17 | 170 | 4.2654e-05
88 | Sim | 27 | 3097 | 0.000676965
89 | Sim | 20 | 687 | 0.000155205
90 | Sim | 20 | 576 | 0.000130894
91 | Sim | 27 | 1580 | 0.000360684
92 | Sim | 26 | 2032 | 0.000447302
93 | Sim | 22 | 1354 | 0.000297883
94 | Sim | 22 | 531 | 0.000120065
95 | Sim | 22 | 546 | 0.000122658
96 | Sim | 19 | 186 | 4.5023e-05
97 | Sim | 20 | 650 | 0.000142725
98 | Sim | 21 | 1362 | 0.000295603
99 | Sim | 24 | 831 | 0.000184738
100 | Sim | 25 | 2902 | 0.000636969
