Inst | Solucao | Custo | Estados Avaliados | Tempo (s)
-----+---------+-------+-------------------+----------
1 | Sim | 22 | 1323 | 0.000712497
2 | Sim | 23 | 1332 | 0.000423618
3 | Sim | 17 | 36 | 1.494e-05
4 | Sim | 25 | 1908 | 0.000586715
5 | Sim | 16 | 138 | 4.4824e-05
6 | Sim | 22 | 575 | 0.00016431
7 | Sim | 22 | 569 | 0.000175007
8 | Sim | 21 | 416 | 0.000129128
9 | Sim | 17 | 305 | 8.2212e-05
10 | Sim | 21 | 322 | 7.531e-05
11 | Sim | 23 | 520 | 0.000124837
12 | Sim | 23 | 912 | 0.000191088
13 | Sim | 19 | 378 | 8.9324e-05
14 | Sim | 22 | 438 | 8.834e-05
15 | Sim | 19 | 479 | 0.0001026
16 | Sim | 22 | 455 | 0.000111876
17 | Sim | 20 | 620 | 0.0001262
18 | Sim | 21 | 58 | 1.3092e-05
19 | Sim | 22 | 323 | 6.6499e-05
20 | Sim | 22 | 321 | 6.7279e-05
21 | Sim | 16 | 26 | 5.35e-06
22 | Sim | 16 | 31 | 6.063e-06
23 | Sim | 25 | 548 | 0.000113481
24 | Sim | 22 | 320 | 6.9523e-05
25 | Sim | 23 | 790 | 0.00017069
26 | Sim | 25 | 1564 | 0.000330192
27 | Sim | 21 | 677 | 0.000134956
28 | Sim | 13 | 85 | 1.8686e-05
29 | Sim | 23 | 425 | 8.8771e-05
30 | Sim | 24 | 302 | 6.3051e-05
31 | Sim | 24 | 926 | 0.000197772
32 | Sim | 16 | 57 | 1.0478e-05
33 | Sim | 18 | 43 | 9.887e-06
34 | Sim | 23 | 626 | 0.000120649
35 | Sim | 26 | 1391 | 0.00027079
36 | Sim | 27 | 2593 | 0.00052668
37 | Sim | 22 | 405 | 8.6361e-05
38 | Sim | 26 | 1876 | 0.00039023
39 | Sim | 22 | 975 | 0.000202662
40 | Sim | 25 | 2220 | 0.000498082
41 | Sim | 14 | 46 | 1.0539e-05
42 | Sim | 25 | 1513 | 0.000302257
43 | Sim | 21 | 558 | 0.00012139
44 | Sim | 26 | 3761 | 0.000822901
45 | Sim | 24 | 2073 | 0.000448814
46 | Sim | 24 | 419 | 8.4888e-05
47 | Sim | 18 | 99 | 2.1831e-05
48 | Sim | 23 | 814 | 0.000170226
49 | Sim | 21 | 326 | 6.5762e-05
50 | Sim | 28 | 3807 | 0.000785022
51 | Sim | 20 | 561 | 0.000112509
52 | Sim | 27 | 2053 | 0.000420888
53 | Sim | 19 | 317 | 6.7663e-05
54 | Sim | 26 | 1172 | 0.000246097
55 | Sim | 18 | 196 | 4.0312e-05
56 | Sim | 24 | 1440 | 0.000303902
57 | Sim | 18 | 171 | 3.7207e-05
58 | Sim | 24 | 1104 | 0.000241895
59 | Sim | 23 | 85 | 1.7249e-05
60 | Sim | 24 | 882 | 0.000184833
61 | Sim | 27 | 2268 | 0.000457733
62 | Sim | 25 | 5410 | 0.00118014
63 | Sim | 21 | 202 | 5.0323e-05
64 | Sim | 22 | 51 | 1.0146e-05
65 | Sim | 28 | 3798 | 0.000784341
66 | Sim | 20 | 87 | 1.8081e-05
67 | Sim | 27 | 4422 | 0.000879702
68 | Sim | 27 | 3154 | 0.000676166
69 | Sim | 25 | 1421 | 0.000290799
70 | Sim | 24 | 1377 | 0.000280948
71 | Sim | 24 | 186 | 4.0704e-05
72 | Sim | 22 | 563 | 0.000122656
73 | Sim | 27 | 3971 | 0.000834464
74 | Sim | 26 | 3361 | 0.000684117
75 | Sim | 25 | 5674 | 0.00126881
76 | Sim | 26 | 785 | 0.00016668
77 | Sim | 20 | 165 | 3.4382e-05
78 | Sim | 26 | 3631 | 0.000736472
79 | Sim | 16 | 113 | 2.4635e-05
80 | Sim | 27 | 4430 | 0.000936328
81 | Sim | 19 | 257 | 5.293e-05
82 | Sim | 25 | 655 | 0.000135655
83 | Sim | 15 | 44 | 1.0329e-05
84 | Sim | 17 | 79 | 1.803e-05
85 | Sim | 15 | 111 | 2.3772e-05
86 | Sim | 25 | 971 | 0.000195066
87 | Sim | 17 | 59 | 1.3198e-05
88 | Sim | 27 | 2750 | 0.000554291
89 | Sim | 20 | 485 | 0.00010228
90 | Sim | 20 | 466 | 9.8925e-05
91 | Sim | 27 | 2646 | 0.000535884
92 | Sim | 26 | 1473 | 0.000305846
93 | Sim | 22 | 648 | 0.000143374
94 | Sim | 22 | 746 | 0.000153492
95 | Sim | 22 | 478 | 0.000103543
96 | Sim | 19 | 133 | 3.2438e-05
97 | Sim | 20 | 362 | 7.5915e-05
98 | Sim | 21 | 1051 | 0.000220709
99 | Sim | 24 | 830 | 0.000174885
100 | Sim | 25 | 1678 | 0.000350927
